N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
127.0,LG화학우,289500.0,3500.0,-1.19%,5000.0,,,
128.0,CJ,76200.0,600.0,-0.78%,5000.0,344840.0,419560.0,18818.0
129.0,TIGER 미국나스닥100,74840.0,1360.0,+1.85%,0.0,,,
130.0,신세계,220000.0,500.0,-0.23%,5000.0,63164.0,136445.0,5174.0
131.0,에스원,56900.0,500.0,+0.89%,500.0,23125.0,19730.0,1797.0
132.0,대한전선,1720.0,20.0,-1.15%,100.0,19977.0,14209.0,395.0
133.0,키움증권,81600.0,300.0,-0.37%,5000.0,58662.0,453011.0,12089.0
134.0,BNK금융지주,6560.0,40.0,-0.61%,5000.0,55807.0,1282870.0,10920.0
135.0,하이트진로,29600.0,550.0,-1.82%,5000.0,22029.0,36311.0,1741.0
136.0,LS,64300.0,100.0,-0.16%,5000.0,130891.0,126259.0,5837.0
137.0,대우건설,4970.0,50.0,-1.00%,5000.0,86852.0,104580.0,7383.0
138.0,현대위아,75200.0,100.0,-0.13%,5000.0,75277.0,77495.0,1027.0
139.0,대우조선해양,19000.0,250.0,-1.30%,5000.0,44866.0,106232.0,-17547.0
140.0,TIGER 200,31355.0,155.0,-0.49%,0.0,,,
141.0,한화생명,2300.0,65.0,+2.91%,5000.0,271736.0,1635914.0,13520.0
142.0,KODEX 레버리지,14620.0,155.0,-1.05%,0.0,,,
143.0,영원무역,44050.0,1300.0,+3.04%,500.0,27925.0,35476.0,4425.0
144.0,DB하이텍,43700.0,850.0,-1.91%,5000.0,12147.0,15499.0,3991.0
145.0,대웅제약,166500.0,3000.0,-1.77%,2500.0,11530.0,14152.0,889.0
146.0,코스모신소재,62700.0,400.0,-0.63%,1000.0,3059.0,3485.0,218.0
147.0,효성첨단소재,419000.0,5500.0,-1.30%,5000.0,35978.0,29087.0,4373.0
148.0,TIGER 미국S&P500,13570.0,200.0,+1.50%,0.0,,,
149.0,SK케미칼,105000.0,10400.0,+10.99%,5000.0,20896.0,39556.0,5552.0
150.0,휠라홀딩스,30400.0,50.0,+0.16%,1000.0,37940.0,42889.0,4929.0
151.0,에스엘,39600.0,1150.0,+2.99%,500.0,30011.0,25675.0,1105.0
152.0,KODEX KOFR금리액티브(합성),100685.0,10.0,+0.01%,0.0,,,
153.0,농심,299000.0,1000.0,+0.34%,5000.0,26630.0,28999.0,1061.0
154.0,녹십자,155500.0,4000.0,-2.51%,5000.0,15378.0,24621.0,737.0
155.0,롯데정밀화학,68600.0,100.0,+0.15%,5000.0,17803.0,27235.0,2445.0
156.0,한전KPS,39100.0,300.0,-0.76%,200.0,13806.0,14269.0,1240.0
157.0,오뚜기,475500.0,3000.0,+0.63%,5000.0,27390.0,26058.0,1666.0
158.0,LX인터내셔널,44300.0,1600.0,+3.75%,5000.0,166865.0,67469.0,6562.0
159.0,TIGER 단기통안채,101200.0,15.0,+0.01%,0.0,,,
160.0,DL이앤씨,42450.0,1550.0,+3.79%,5000.0,76317.0,87017.0,9573.0
161.0,LS ELECTRIC,53200.0,0.0,0.00%,5000.0,26683.0,27967.0,1551.0
162.0,효성,73600.0,100.0,-0.14%,5000.0,35389.0,52579.0,6406.0
163.0,KODEX 단기채권PLUS,104020.0,0.0,0.00%,0.0,,,
164.0,JB금융지주,7510.0,0.0,0.00%,5000.0,25415.0,563956.0,7083.0
165.0,동원시스템즈,50900.0,100.0,-0.20%,5000.0,12509.0,14920.0,900.0
166.0,롯데칠성,156500.0,2500.0,+1.62%,500.0,25061.0,35968.0,1822.0
167.0,대덕전자,29250.0,500.0,-1.68%,500.0,10009.0,9410.0,725.0
168.0,후성,15350.0,250.0,-1.60%,500.0,3813.0,6163.0,581.0
169.0,대성홀딩스,88300.0,400.0,+0.46%,1000.0,9405.0,12440.0,213.0
170.0,현대백화점,60500.0,500.0,-0.82%,5000.0,35724.0,89692.0,2644.0
171.0,TIGER 미국테크TOP10 INDXX,11060.0,225.0,+2.08%,0.0,,,
172.0,신풍제약,26500.0,550.0,-2.03%,500.0,1892.0,3926.0,-143.0
173.0,TIGER 미국필라델피아반도체나스닥,9610.0,105.0,+1.10%,0.0,,,
174.0,솔루스첨단소재,39500.0,450.0,-1.13%,100.0,3812.0,10116.0,20.0
175.0,코오롱인더,50200.0,0.0,0.00%,5000.0,46621.0,56013.0,2527.0
176.0,대웅,23750.0,250.0,+1.06%,500.0,15114.0,19337.0,1826.0
177.0,DL,65800.0,100.0,+0.15%,5000.0,23854.0,83230.0,2219.0
178.0,KODEX 삼성그룹,8325.0,25.0,-0.30%,0.0,,,
179.0,일진하이솔루스,36300.0,1100.0,-2.94%,500.0,1177.0,3435.0,98.0
180.0,TIGER TOP10,10265.0,100.0,-0.96%,0.0,,,
181.0,효성티앤씨,304000.0,2500.0,-0.82%,5000.0,85960.0,45265.0,14237.0
182.0,롯데렌탈,35850.0,200.0,-0.55%,5000.0,24227.0,61250.0,2455.0
183.0,서울가스,259500.0,2500.0,+0.97%,5000.0,12778.0,16626.0,-49.0
184.0,KODEX 2차전지산업,19475.0,110.0,+0.57%,0.0,,,
185.0,두산,78000.0,700.0,-0.89%,5000.0,132042.0,260099.0,9459.0
186.0,TIGER 2차전지테마,19245.0,75.0,+0.39%,0.0,,,
187.0,한국앤컴퍼니,13150.0,300.0,+2.33%,500.0,9633.0,40812.0,2283.0
188.0,DGB금융지주,7370.0,10.0,+0.14%,5000.0,51957.0,859060.0,7486.0
189.0,KODEX 단기채권,103605.0,5.0,0.00%,0.0,,,
190.0,롯데리츠,5070.0,20.0,-0.39%,500.0,562.0,24039.0,328.0
191.0,KODEX 종합채권(AA-이상)액티브,100720.0,135.0,-0.13%,0.0,,,
192.0,영풍,662000.0,8000.0,-1.19%,5000.0,35821.0,55210.0,-268.0
193.0,한샘,51600.0,100.0,-0.19%,1000.0,22312.0,12464.0,693.0
194.0,동국제강,12700.0,50.0,+0.40%,5000.0,72403.0,63341.0,8030.0
195.0,롯데제과,127000.0,3000.0,+2.42%,500.0,21454.0,26666.0,1085.0
196.0,TIGER MSCI Korea TR,12840.0,110.0,-0.85%,0.0,,,
197.0,ESR켄달스퀘어리츠,5540.0,90.0,+1.65%,1000.0,467.0,22680.0,238.0
198.0,한미반도체,11900.0,200.0,+1.71%,100.0,3732.0,4293.0,1224.0
199.0,명신산업,22250.0,1050.0,+4.95%,500.0,11077.0,7195.0,565.0
200.0,현대엘리베이,27900.0,250.0,-0.89%,5000.0,19734.0,29874.0,1290.0
201.0,현대일렉트릭,31550.0,300.0,-0.94%,5000.0,18060.0,22150.0,97.0
202.0,아이에스동서,36700.0,150.0,-0.41%,500.0,16084.0,35098.0,3108.0
203.0,현대두산인프라코어,5700.0,160.0,-2.73%,1000.0,45937.0,47823.0,2645.0
204.0,SK리츠,5730.0,80.0,+1.42%,500.0,186.0,18832.0,153.0
205.0,KODEX 200TR,10450.0,75.0,-0.71%,0.0,,,
